Baby,Adult,Imitated
43,Untrustworthy,No
49,Untrustworthy,No
26,Trustworthy,No
2,Trustworthy,Yes
6,Trustworthy,Yes
16,Trustworthy,Yes
31,Untrustworthy,Yes
37,Untrustworthy,Yes
56,Untrustworthy,No
33,Untrustworthy,Yes
17,Trustworthy,Yes
22,Trustworthy,No
11,Trustworthy,Yes
54,Untrustworthy,No
1,Trustworthy,Yes
28,Trustworthy,No
32,Untrustworthy,Yes
27,Trustworthy,No
38,Untrustworthy,Yes
12,Trustworthy,Yes
9,Trustworthy,Yes
51,Untrustworthy,No
58,Untrustworthy,No
52,Untrustworthy,No
7,Trustworthy,Yes
25,Trustworthy,No
48,Untrustworthy,No
35,Untrustworthy,Yes
3,Trustworthy,Yes
5,Trustworthy,Yes
15,Trustworthy,Yes
20,Trustworthy,No
47,Untrustworthy,No
19,Trustworthy,No
24,Trustworthy,No
55,Untrustworthy,No
60,Untrustworthy,No
30,Trustworthy,No
50,Untrustworthy,No
14,Trustworthy,Yes
41,Untrustworthy,No
59,Untrustworthy,No
36,Untrustworthy,Yes
46,Untrustworthy,No
29,Trustworthy,No
13,Trustworthy,Yes
57,Untrustworthy,No
40,Untrustworthy,Yes
21,Trustworthy,No
4,Trustworthy,Yes
34,Untrustworthy,Yes
44,Untrustworthy,No
39,Untrustworthy,Yes
53,Untrustworthy,No
42,Untrustworthy,No
18,Trustworthy,Yes
8,Trustworthy,Yes
23,Trustworthy,No
10,Trustworthy,Yes
45,Untrustworthy,No